"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.858079333E0;4.021088104E0;-9.006620636E0;-5.792953491E-1
3.868112333E0;4.205055542E0;-8.866212616E0;-1.490600281E0
3.878144333E0;3.890110474E0;-6.483916626E0;-2.110161896E0
3.888176333E0;2.466720428E0;-4.487368469E0;-2.638862457E0
3.898209333E0;1.109193420E0;-3.347189484E0;-2.733615417E0
3.908241333E0;3.339555359E-1;-2.392624512E0;-2.365231476E0
3.918274333E0;1.549278259E-1;-5.707630920E-1;-1.822609863E0
3.928306333E0;4.442761230E-1;-2.061213684E0;-1.078656921E0
3.938339333E0;-6.518943787E-1;-4.395908661E0;3.330574036E-1
3.948371333E0;2.662962341E-1;-3.321592712E0;4.884342957E-1
3.958403333E0;1.980082397E0;-2.176773376E0;1.676513672E-1
3.968436333E0;3.039579163E0;-2.460882568E0;-8.876541138E-2
3.978468333E0;3.444487152E0;-3.728895721E0;6.213578796E-1
3.988501333E0;3.885919189E0;-5.323978729E0;2.124831390E0
3.998533333E0;4.412524109E0;-7.647447052E0;4.175716553E0
4.008565333E0;5.911956024E0;-9.477541351E0;6.258784790E0
4.018598333E0;9.290131073E0;-9.385782166E0;7.529492340E0
4.028630333E0;1.149669250E1;-1.180939224E1;4.922064514E0
4.038663333E0;1.156075928E1;-1.155821457E1;-5.980663147E0
4.048695333E0;1.042147842E1;-1.202793777E1;-1.286185364E1
4.058728333E0;9.466314697E0;-1.294687683E1;-9.358089752E0
4.068760333E0;8.796008606E0;-1.356898315E1;-4.912933502E0
