"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
8.780150550E-1;4.568496704E0;-9.900602341E0;3.146262646E0
8.804643780E-1;3.605983734E0;-9.998708725E0;2.119143486E0
8.829128670E-1;3.522234917E0;-9.819247246E0;1.489532113E0
8.853605230E-1;3.622733593E0;-9.740283966E0;1.125523925E0
8.878091170E-1;3.716053486E0;-9.680462837E0;1.080060363E0
8.902583880E-1;3.790530205E0;-9.785747528E0;1.161416292E0
8.927069300E-1;3.749552965E0;-9.919745445E0;1.405484200E0
8.951545860E-1;3.634697676E0;-1.019761181E1;1.491924882E0
8.976031800E-1;3.206083298E0;-1.053978539E1;1.142273664E0
9.000524500E-1;2.684448004E0;-1.055892849E1;5.102694035E-1
9.025009920E-1;2.789732218E0;-9.989137650E0;-2.533400953E-1
9.049486480E-1;2.631506681E0;-8.974281311E0;-9.263214469E-1
9.073971900E-1;2.686840773E0;-7.125825882E0;-1.160818100E0
9.098465130E-1;2.571686029E0;-6.733402729E0;-3.732803464E-1
9.122950550E-1;2.574079037E0;-6.579963207E0;8.647062778E-1
9.147427110E-1;2.677269459E0;-6.367002010E0;2.009073734E0
9.171912530E-1;2.863909483E0;-6.218647003E0;3.105285645E0
9.196405750E-1;2.990729094E0;-6.099005699E0;3.878765583E0
9.220890650E-1;3.119941711E0;-5.962316036E0;4.453341961E0
9.245367210E-1;3.194119215E0;-5.830710411E0;4.829314232E0
9.269853150E-1;3.302095175E0;-5.656034470E0;5.185844898E0
9.294346380E-1;3.304488182E0;-5.529214859E0;5.228915691E0
9.318831280E-1;3.371487141E0;-5.562714577E0;4.996811867E0
9.343307840E-1;3.443271875E0;-5.615356445E0;4.716552734E0
9.367793780E-1;3.388236761E0;-5.600999832E0;4.307379723E0
9.392287000E-1;3.323630571E0;-5.620141983E0;3.730410576E0
9.416771900E-1;3.278167009E0;-5.689534187E0;3.088535786E0
9.441248460E-1;3.189333439E0;-5.682355404E0;2.511566401E0
9.465734400E-1;3.048156977E0;-5.677569866E0;1.958525300E0
9.490227110E-1;2.885445118E0;-5.694319725E0;1.432104349E0
9.514712530E-1;2.768196583E0;-5.636891842E0;1.015454054E0
9.539189090E-1;2.554936409E0;-5.608178139E0;6.394818425E-1
9.563674500E-1;2.377867460E0;-5.627320766E0;3.714857101E-1
9.588167730E-1;2.172084808E0;-5.598606586E0;5.054837838E-2
9.612653150E-1;1.949253201E0;-5.567500114E0;-2.198405862E-1
9.637129710E-1;1.743470430E0;-5.373382568E0;-4.516452923E-2
9.661615130E-1;1.659721613E0;-5.251348495E0;1.725823283E-1
9.686108360E-1;1.647757530E0;-5.160421371E0;3.284149170E-1
9.710593250E-1;1.657328725E0;-5.016851902E0;3.619144261E-1
9.735070340E-1;1.662114382E0;-4.882554531E0;3.523431420E-1
9.759555750E-1;1.709970832E0;-4.825126648E0;5.772684515E-2
9.784048980E-1;1.757827282E0;-4.770092010E0;-1.911267042E-1
9.808533880E-1;1.650150299E0;-4.743771076E0;-5.982056856E-1
9.833010440E-1;1.580758452E0;-4.578666210E0;-8.425726891E-1
9.857496380E-1;1.489532113E0;-4.492524624E0;-7.226324677E-1
9.881989610E-1;1.432104349E0;-4.411168575E0;-6.628118753E-1
9.906474500E-1;1.417747378E0;-4.303192616E0;-3.684946895E-1
9.930951070E-1;1.499103427E0;-4.229014874E0;1.271187067E-1
9.955437000E-1;1.748256087E0;-4.238586426E0;7.567301393E-1
9.979929710E-1;1.949253201E0;-4.264907360E0;1.269093275E0
1.000441513E0;2.267797709E0;-4.351048946E0;2.100000858E0
1.002889169E0;2.609971285E0;-4.497310162E0;3.047857761E0
1.005337711E0;2.993122101E0;-4.686343193E0;3.557828188E0
