"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
9.648615130E-1;-1.043327093E0;-2.934204817E0;3.627363682E0
9.673108360E-1;-1.062874198E0;-3.102798700E0;3.682339907E0
9.697593250E-1;-1.073869467E0;-3.266505718E0;3.736094475E0
9.722070340E-1;-1.067761064E0;-3.426547766E0;3.782518864E0
9.746555750E-1;-1.059209108E0;-3.584146261E0;3.824056625E0
9.771048980E-1;-1.044548869E0;-3.749074936E0;3.859485626E0
9.795533880E-1;-1.023779988E0;-3.917668819E0;3.887584686E0
9.820010440E-1;-1.001789451E0;-4.102144718E0;3.913240194E0
9.844496380E-1;-9.688037634E-1;-4.274403572E0;3.936452389E0
9.868989610E-1;-9.297095537E-1;-4.432002068E0;3.960886240E0
9.893474500E-1;-8.710681796E-1;-4.576162338E0;3.979211807E0
9.917951070E-1;-7.989882231E-1;-4.689779758E0;3.993872166E0
9.942437000E-1;-7.061394453E-1;-4.759416580E0;3.995093822E0
9.966929710E-1;-5.974085927E-1;-4.769189835E0;3.980433464E0
9.991415130E-1;-4.666872919E-1;-4.701996803E0;3.943782568E0
1.001589169E0;-3.090887070E-1;-4.528516293E0;3.881476164E0
1.004037711E0;-1.466033459E-1;-4.234087944E0;3.802066088E0
1.006487034E0;-0.000000000E0;-3.828485250E0;3.694556952E0
1.008935575E0;1.172826737E-1;-3.304378271E0;3.558948755E0
1.011383232E0;2.040229887E-1;-2.644663095E0;3.385468245E0
1.013831773E0;2.687727809E-1;-1.857739210E0;3.139907598E0
1.016281096E0;3.188622594E-1;-9.940012097E-1;2.773246527E0
1.018729586E0;3.872771561E-1;-1.437018216E-1;2.285790443E0
1.021177294E0;4.813476503E-1;6.259657145E-1;1.756796718E0
1.023625836E0;6.193991303E-1;1.293010950E0;1.204590797E0
1.026075159E0;7.476770282E-1;1.835443258E0;6.670452356E-1
1.028523648E0;8.832851648E-1;2.260592937E0;1.966928244E-1
1.030971305E0;1.032331824E0;2.590450525E0;-1.747023165E-1
1.033419898E0;1.194817185E0;2.831124306E0;-4.178195298E-1
1.035869221E0;1.362189412E0;2.994831324E0;-5.375455618E-1
1.038317711E0;1.522231340E0;3.087832928E0;-5.729747415E-1
1.040765367E0;1.663947940E0;3.098828077E0;-5.607577562E-1
1.043213961E0;1.788560748E0;3.042477369E0;-5.338805318E-1
1.045663232E0;1.888739705E0;2.926416397E0;-4.984513521E-1
1.048111773E0;1.958376288E0;2.805468798E0;-4.373666346E-1
1.050559430E0;1.970593214E0;2.730945349E0;-3.371876776E-1
1.053008023E0;1.931499004E0;2.710176468E0;-1.844758689E-1
1.055457294E0;1.845980406E0;2.724836826E0;2.443389036E-2
1.057905836E0;1.726254344E0;2.755379200E0;2.797680497E-1
1.060353492E0;1.574764252E0;2.788365126E0;5.729747415E-1
1.062802034E0;1.402505279E0;2.795695305E0;8.881719112E-1
1.065251357E0;1.222916245E0;2.765152931E0;1.198482275E0
1.067699898E0;1.049435616E0;2.675969124E0;1.490467310E0
1.070147555E0;9.040539265E-1;2.487828255E0;1.744579792E0
1.072596096E0;8.075400591E-1;2.160413980E0;1.957154632E0
1.075045419E0;7.611156702E-1;1.712052107E0;2.114753246E0
1.077493909E0;7.623373866E-1;1.163511276E0;2.222262383E0
1.079941617E0;7.977665067E-1;5.612159371E-1;2.295563936E0
1.082390159E0;8.356390595E-1;-2.519745007E-2;2.337101698E0
1.084839482E0;8.527427912E-1;-5.554128885E-1;2.357870340E0
1.087287971E0;8.502993584E-1;-1.009883285E0;2.378639221E0
1.089735628E0;8.026533127E-1;-1.428924441E0;2.423841953E0
1.092184221E0;7.036960125E-1;-1.814979911E0;2.483705044E0
1.094633544E0;5.876350403E-1;-2.148502588E0;2.554563284E0
1.097082034E0;4.703523815E-1;-2.424758196E0;2.621756554E0
